pete-sampras/s402,Pete Sampras,1,4327
marcelo-rios/r286,Marcelo Rios,2,3674
patrick-rafter/r255,Patrick Rafter,3,3593
carlos-moya/m605,Carlos Moya,4,2959
petr-korda/k148,Petr Korda,5,2829
andre-agassi/a092,Andre Agassi,6,2681
alex-corretja/c344,Alex Corretja,7,2626
karol-kucera/k237,Karol Kucera,8,2615
tim-henman/h336,Tim Henman,9,2488
yevgeny-kafelnikov/k267,Yevgeny Kafelnikov,10,2463
richard-krajicek/k214,Richard Krajicek,11,2448
jonas-bjorkman/b446,Jonas Bjorkman,12,2149
greg-rusedski/r237,Greg Rusedski,13,1886
goran-ivanisevic/i034,Goran Ivanisevic,14,1877
jan-siemerink/s381,Jan Siemerink,15,1837
albert-costa/c378,Albert Costa,16,1823
cedric-pioline/p226,Cedric Pioline,17,1807
thomas-enqvist/e113,Thomas Enqvist,18,1618
mark-philippoussis/p338,Mark Philippoussis,19,1610
felix-mantilla/m535,Felix Mantilla,20,1593
thomas-johansson/j129,Thomas Johansson,21,1539
alberto-berasategui/b428,Alberto Berasategui,22,1537
gustavo-kuerten/k293,Gustavo Kuerten,23,1500
thomas-muster/m099,Thomas Muster,24,1454
todd-martin/m442,Todd Martin,25,1365
michael-chang/c274,Michael Chang,26,1302
francisco-clavet/c252,Francisco Clavet,27,1289
byron-black/b397,Byron Black,28,1254
wayne-ferreira/f196,Wayne Ferreira,29,1143
magnus-larsson/l206,Magnus Larsson,30,1131
nicolas-escude/e140,Nicolas Escude,31,1118
nicolas-kiefer/k316,Nicolas Kiefer,32,1112
magnus-gustafsson/g182,Magnus Gustafsson,33,1105
bohdan-ulihrach/u032,Bohdan Ulihrach,34,1090
jason-stoltenberg/s331,Jason Stoltenberg,35,1068
fabrice-santoro/s424,Fabrice Santoro,36,1018
hicham-arazi/a226,Hicham Arazi,37,987
andrea-gaudenzi/g254,Andrea Gaudenzi,38,958
marc-rosset/r214,Marc Rosset,39,946
daniel-vacek/v141,Daniel Vacek,40,940
mariano-puerta/p372,Mariano Puerta,41,937
richard-fromberg/f164,Richard Fromberg,42,937
vincent-spadea/s544,Vincent Spadea,43,923
dominik-hrbaty/h377,Dominik Hrbaty,44,892
fernando-meligeni/m443,Fernando Meligeni,45,881
franco-squillari/s568,Franco Squillari,46,876
guillaume-raoux/r186,Guillaume Raoux,47,859
davide-sanguinetti/s480,Davide Sanguinetti,48,859
jan-michael-gambill/g352,Jan-Michael Gambill,49,838
scott-draper/d270,Scott Draper,50,819
magnus-norman/n250,Magnus Norman,51,813
andrew-ilie/i052,Andrew Ilie,52,808
tommy-haas/h355,Tommy Haas,53,805
fernando-vicente/v195,Fernando Vicente,54,799
filip-dewulf/d228,Filip Dewulf,55,789
marat-safin/s741,Marat Safin,56,785
jerome-golmard/g319,Jerome Golmard,57,768
gianluca-pozzi/p045,Gianluca Pozzi,58,747
mark-woodforde/w035,Mark Woodforde,59,730
carlos-costa/c179,Carlos Costa,60,725
slava-dosedel/d198,Slava Dosedel,61,723
todd-woodbridge/w136,Todd Woodbridge,62,719
boris-becker/b028,Boris Becker,63,713
paul-haarhuis/h223,Paul Haarhuis,64,713
david-prinosil/p273,David Prinosil,65,707
ramon-delgado/d316,Ramon Delgado,66,697
sjeng-schalken/s572,Sjeng Schalken,67,688
younes-el%20aynaoui/e121,Younes El Aynaoui,68,679
nicolas-lapentti/l290,Nicolas Lapentti,69,678
adrian-voinea/v166,Adrian Voinea,70,676
jeff-tarango/t136,Jeff Tarango,71,675
andrei-medvedev/m475,Andrei Medvedev,72,667
andrei-pavel/p280,Andrei Pavel,73,661
kenneth-carlsen/c328,Kenneth Carlsen,74,651
karim-alami/a203,Karim Alami,75,631
martin-damm/d214,Martin Damm,76,624
julian-alonso/a272,Julian Alonso,77,624
galo-blanco/b518,Galo Blanco,78,612
sebastien-grosjean/g379,Sebastien Grosjean,79,611
oliver-gross/g297,Oliver Gross,80,601
mikael-tillstrom/t166,Mikael Tillstrom,81,582
hendrik-dreekmann/d249,Hendrik Dreekmann,82,576
john-van%20lottum/v201,John van Lottum,83,574
mariano-zabaleta/z073,Mariano Zabaleta,84,551
leander-paes/p269,Leander Paes,85,548
steve-campbell/c355,Steve Campbell,86,548
sebastien-lareau/l226,Sebastien Lareau,87,545
sargis-sargsian/s545,Sargis Sargsian,88,539
juan%20antonio-marin/m578,Juan Antonio Marin,89,532
jim-courier/c243,Jim Courier,90,530
brett-steven/s321,Brett Steven,91,528
wayne-black/b499,Wayne Black,92,525
albert-portas/p305,Albert Portas,93,524
johan-van%20herck/v167,Johan Van Herck,94,522
arnaud-di%20pasquale/d357,Arnaud Di Pasquale,95,520
guillermo-canas/c433,Guillermo Canas,96,515
martin-rodriguez/r251,Martin Rodriguez,97,511
jiri-novak/n254,Jiri Novak,98,498
michael-kohlmann/k257,Michael Kohlmann,99,490
daniel-nestor/n210,Daniel Nestor,100,488
