novak-djokovic/d643,Novak Djokovic,1,15550
andy-murray/mc10,Andy Murray,2,8175
roger-federer/f324,Roger Federer,3,7785
stan-wawrinka/w367,Stan Wawrinka,4,6460
rafael-nadal/n409,Rafael Nadal,5,5915
kei-nishikori/n552,Kei Nishikori,6,4290
jo-wilfried-tsonga/t786,Jo-Wilfried Tsonga,7,3400
tomas-berdych/ba47,Tomas Berdych,8,3120
david-ferrer/f401,David Ferrer,9,3010
richard-gasquet/g628,Richard Gasquet,10,2840
milos-raonic/r975,Milos Raonic,11,2740
marin-cilic/c977,Marin Cilic,12,2680
david-goffin/gb88,David Goffin,13,2605
gael-monfils/mc65,Gael Monfils,14,2460
dominic-thiem/tb69,Dominic Thiem,15,2420
john-isner/i186,John Isner,16,2235
roberto-bautista%20agut/bd06,Roberto Bautista Agut,17,2015
gilles-simon/sd32,Gilles Simon,18,1900
kevin-anderson/a678,Kevin Anderson,19,1840
nick-kyrgios/ke17,Nick Kyrgios,20,1765
benoit-paire/pd31,Benoit Paire,21,1751
bernard-tomic/ta46,Bernard Tomic,22,1625
feliciano-lopez/l397,Feliciano Lopez,23,1585
viktor-troicki/t840,Viktor Troicki,24,1580
pablo-cuevas/c882,Pablo Cuevas,25,1510
jack-sock/sm25,Jack Sock,26,1425
philipp-kohlschreiber/k435,Philipp Kohlschreiber,27,1420
alexandr-dolgopolov/d801,Alexandr Dolgopolov,28,1330
grigor-dimitrov/d875,Grigor Dimitrov,29,1295
fabio-fognini/f510,Fabio Fognini,30,1240
ivo-karlovic/k336,Ivo Karlovic,31,1235
steve-johnson/j386,Steve Johnson,32,1225
jeremy-chardy/ca12,Jeremy Chardy,33,1220
joao-sousa/sh90,Joao Sousa,34,1181
thomaz-bellucci/bd20,Thomaz Bellucci,35,1165
federico-delbonis/d874,Federico Delbonis,36,1140
sam-querrey/q927,Sam Querrey,37,1090
marcos-baghdatis/b837,Marcos Baghdatis,38,1057
andrey-kuznetsov/kb54,Andrey Kuznetsov,39,1015
borna-coric/cg80,Borna Coric,40,1015
andreas-seppi/sa93,Andreas Seppi,41,1005
gilles-muller/ma30,Gilles Muller,42,985
guido-pella/pc11,Guido Pella,43,984
martin-klizan/k966,Martin Klizan,44,980
vasek-pospisil/pd07,Vasek Pospisil,45,975
leonardo-mayer/md56,Leonardo Mayer,46,975
guillermo-garcia-lopez/g476,Guillermo Garcia-Lopez,47,955
nicolas-mahut/m873,Nicolas Mahut,48,937
alexander-zverev/z355,Alexander Zverev,49,920
pablo-carreno%20busta/cd85,Pablo Carreno Busta,50,919
fernando-verdasco/v306,Fernando Verdasco,51,900
paolo-lorenzi/l503,Paolo Lorenzi,52,895
teymuraz-gabashvili/g681,Teymuraz Gabashvili,53,878
marcel-granollers/g710,Marcel Granollers,54,871
ricardas-berankis/be90,Ricardas Berankis,55,866
lucas-pouille/pf39,Lucas Pouille,56,860
albert-ramos-vinolas/r772,Albert Ramos-Vinolas,57,853
inigo-cervantes/ca33,Inigo Cervantes,58,825
aljaz-bedene/bh09,Aljaz Bedene,59,820
paul-henri-mathieu/m850,Paul-Henri Mathieu,60,801
denis-kudla/kb09,Denis Kudla,61,794
robin-haase/h756,Robin Haase,62,790
jiri-vesely/v708,Jiri Vesely,63,780
malek-jaziri/j267,Malek Jaziri,64,779
lukas-rosol/r685,Lukas Rosol,65,762
john-millman/mh30,John Millman,66,761
evgeny-donskoy/d864,Evgeny Donskoy,67,752
illya-marchenko/me89,Illya Marchenko,68,749
dusan-lajovic/l987,Dusan Lajovic,69,748
taylor-fritz/fb98,Taylor Fritz,70,744
nicolas-almagro/a479,Nicolas Almagro,71,739
tommy-robredo/r419,Tommy Robredo,72,730
denis-istomin/i165,Denis Istomin,73,721
rajeev-ram/r548,Rajeev Ram,74,716
ivan-dodig/d646,Ivan Dodig,75,714
mikhail-youzhny/y061,Mikhail Youzhny,76,711
adrian-mannarino/me82,Adrian Mannarino,77,710
dudi-sela/sc56,Dudi Sela,78,706
damir-dzumhur/d923,Damir Dzumhur,79,689
sam-groth/g940,Sam Groth,80,686
donald-young/y124,Donald Young,81,680
victor-estrella%20burgos/e224,Victor Estrella Burgos,82,680
ernests-gulbis/g858,Ernests Gulbis,83,676
hyeon-chung/ch27,Hyeon Chung,84,675
pierre-hugues-herbert/h996,Pierre-Hugues Herbert,85,660
simone-bolelli/ba98,Simone Bolelli,86,642
diego-schwartzman/sm37,Diego Schwartzman,87,624
mikhail-kukushkin/k926,Mikhail Kukushkin,88,623
kyle-edmund/e831,Kyle Edmund,89,613
taro-daniel/da81,Taro Daniel,90,611
horacio-zeballos/z184,Horacio Zeballos,91,603
benjamin-becker/b896,Benjamin Becker,92,594
marco-cecchinato/cf01,Marco Cecchinato,93,591
gastao-elias/e698,Gastao Elias,94,590
daniel-munoz%20de%20la%20nava/m915,Daniel Munoz de la Nava,95,590
facundo-bagnis/bf23,Facundo Bagnis,96,590
santiago-giraldo/g725,Santiago Giraldo,97,579
albert-montanes/m824,Albert Montanes,98,577
yen-hsun-lu/l575,Yen-Hsun Lu,99,576
juan-monaco/ma21,Juan Monaco,100,575
