roger-federer/f324,Roger Federer,1,11805
novak-djokovic/d643,Novak Djokovic,2,10470
andy-murray/mc10,Andy Murray,3,8570
rafael-nadal/n409,Rafael Nadal,4,7385
david-ferrer/f401,David Ferrer,5,5960
tomas-berdych/ba47,Tomas Berdych,6,4965
jo-wilfried-tsonga/t786,Jo-Wilfried Tsonga,7,4520
juan%20martin-del%20potro/d683,Juan Martin del Potro,8,3850
janko-tipsarevic/t742,Janko Tipsarevic,9,3285
john-isner/i186,John Isner,10,2610
juan-monaco/ma21,Juan Monaco,11,2565
nicolas-almagro/a479,Nicolas Almagro,12,2515
marin-cilic/c977,Marin Cilic,13,2455
richard-gasquet/g628,Richard Gasquet,14,2165
milos-raonic/r975,Milos Raonic,15,2090
stan-wawrinka/w367,Stan Wawrinka,16,1865
kei-nishikori/n552,Kei Nishikori,17,1865
philipp-kohlschreiber/k435,Philipp Kohlschreiber,18,1855
alexandr-dolgopolov/d801,Alexandr Dolgopolov,19,1815
gilles-simon/sd32,Gilles Simon,20,1800
tommy-haas/h355,Tommy Haas,21,1553
mardy-fish/f339,Mardy Fish,22,1535
fernando-verdasco/v306,Fernando Verdasco,23,1525
marcel-granollers/g710,Marcel Granollers,24,1510
florian-mayer/mb02,Florian Mayer,25,1500
sam-querrey/q927,Sam Querrey,26,1440
andy-roddick/r485,Andy Roddick,27,1420
andreas-seppi/sa93,Andreas Seppi,28,1390
mikhail-youzhny/y061,Mikhail Youzhny,29,1290
jeremy-chardy/ca12,Jeremy Chardy,30,1258
viktor-troicki/t840,Viktor Troicki,31,1255
feliciano-lopez/l397,Feliciano Lopez,32,1220
pablo-andujar/a596,Pablo Andujar,33,1100
julien-benneteau/b747,Julien Benneteau,34,1075
kevin-anderson/a678,Kevin Anderson,35,1030
marcos-baghdatis/b837,Marcos Baghdatis,36,1030
jurgen-melzer/m762,Jurgen Melzer,37,1022
denis-istomin/i165,Denis Istomin,38,1007
jarkko-nieminen/n289,Jarkko Nieminen,39,992
radek-stepanek/s694,Radek Stepanek,40,985
thomaz-bellucci/bd20,Thomaz Bellucci,41,967
bernard-tomic/ta46,Bernard Tomic,42,950
santiago-giraldo/g725,Santiago Giraldo,43,933
gael-monfils/mc65,Gael Monfils,44,920
martin-klizan/k966,Martin Klizan,45,898
albert-ramos-vinolas/r772,Albert Ramos-Vinolas,46,890
carlos-berlocq/b884,Carlos Berlocq,47,880
nikolay-davydenko/d402,Nikolay Davydenko,48,875
robin-haase/h756,Robin Haase,49,840
alejandro-falla/f444,Alejandro Falla,50,810
benoit-paire/pd31,Benoit Paire,51,803
go-soeda/sc47,Go Soeda,52,796
fabio-fognini/f510,Fabio Fognini,53,790
david-nalbandian/n301,David Nalbandian,54,790
ryan-harrison/h940,Ryan Harrison,55,785
david-goffin/gb88,David Goffin,56,785
lukas-lacko/l797,Lukas Lacko,57,778
xavier-malisse/m680,Xavier Malisse,58,776
grigor-dimitrov/d875,Grigor Dimitrov,59,756
marinko-matosevic/me05,Marinko Matosevic,60,750
leonardo-mayer/md56,Leonardo Mayer,61,725
brian-baker/ba23,Brian Baker,62,715
matthew-ebden/e690,Matthew Ebden,63,703
yen-hsun-lu/l575,Yen-Hsun Lu,64,699
nicolas-mahut/m873,Nicolas Mahut,65,698
gilles-muller/ma30,Gilles Muller,66,686
tatsuma-ito/i230,Tatsuma Ito,67,684
guillermo-garcia-lopez/g476,Guillermo Garcia-Lopez,68,681
grega-zemlja/z189,Grega Zemlja,69,678
paolo-lorenzi/l503,Paolo Lorenzi,70,674
tobias-kamke/k839,Tobias Kamke,71,663
mikhail-kukushkin/k926,Mikhail Kukushkin,72,656
steve-darcis/d632,Steve Darcis,73,655
bjorn-phau/p436,Bjorn Phau,74,652
filippo-volandri/v254,Filippo Volandri,75,652
lukasz-kubot/k540,Lukasz Kubot,76,650
jurgen-zopp/z254,Jurgen Zopp,77,641
jesse-levine/l799,Jesse Levine,78,634
simone-bolelli/ba98,Simone Bolelli,79,634
victor-hanescu/h528,Victor Hanescu,80,632
flavio-cipolla/c723,Flavio Cipolla,81,629
igor-sijsling/sf36,Igor Sijsling,82,619
benjamin-becker/b896,Benjamin Becker,83,613
aljaz-bedene/bh09,Aljaz Bedene,84,613
jerzy-janowicz/j397,Jerzy Janowicz,85,604
lukas-rosol/r685,Lukas Rosol,86,584
roberto-bautista%20agut/bd06,Roberto Bautista Agut,87,580
alex-bogomolov%20jr./b842,Alex Bogomolov Jr.,88,575
ricardas-berankis/be90,Ricardas Berankis,89,575
ivo-karlovic/k336,Ivo Karlovic,90,571
ruben-ramirez%20hidalgo/r383,Ruben Ramirez Hidalgo,91,571
albert-montanes/m824,Albert Montanes,92,565
daniel-gimeno-traver/g676,Daniel Gimeno-Traver,93,558
jan-hajek/h571,Jan Hajek,94,558
sergiy-stakhovsky/sc77,Sergiy Stakhovsky,95,553
igor-andreev/a511,Igor Andreev,96,551
blaz-kavcic/k834,Blaz Kavcic,97,549
rajeev-ram/r548,Rajeev Ram,98,549
paul-henri-mathieu/m850,Paul-Henri Mathieu,99,538
olivier-rochus/r397,Olivier Rochus,100,536
