gustavo-kuerten/k293,Gustavo Kuerten,1,4265
andre-agassi/a092,Andre Agassi,2,3965
marat-safin/s741,Marat Safin,3,3805
juan%20carlos-ferrero/f316,Juan Carlos Ferrero,4,3025
lleyton-hewitt/h432,Lleyton Hewitt,5,2960
yevgeny-kafelnikov/k267,Yevgeny Kafelnikov,6,2645
sebastien-grosjean/g379,Sebastien Grosjean,7,2390
tim-henman/h336,Tim Henman,8,2295
patrick-rafter/r255,Patrick Rafter,9,2120
alex-corretja/c344,Alex Corretja,10,2090
pete-sampras/s402,Pete Sampras,11,2060
arnaud-clement/c487,Arnaud Clement,12,1935
thomas-enqvist/e113,Thomas Enqvist,13,1900
roger-federer/f324,Roger Federer,14,1825
thomas-johansson/j129,Thomas Johansson,15,1565
carlos-moya/m605,Carlos Moya,16,1360
goran-ivanisevic/i034,Goran Ivanisevic,17,1316
wayne-ferreira/f196,Wayne Ferreira,18,1280
dominik-hrbaty/h377,Dominik Hrbaty,19,1265
albert-portas/p305,Albert Portas,20,1245
jan-michael-gambill/g352,Jan-Michael Gambill,21,1230
magnus-norman/n250,Magnus Norman,22,1230
nicolas-lapentti/l290,Nicolas Lapentti,23,1185
tommy-haas/h355,Tommy Haas,24,1185
fabrice-santoro/s424,Fabrice Santoro,25,1175
nicolas-kiefer/k316,Nicolas Kiefer,26,1170
guillermo-coria/c524,Guillermo Coria,27,1165
nicolas-escude/e140,Nicolas Escude,28,1115
sjeng-schalken/s572,Sjeng Schalken,29,1103
guillermo-canas/c433,Guillermo Canas,30,1089
mark-philippoussis/p338,Mark Philippoussis,31,1080
jiri-novak/n254,Jiri Novak,32,1076
todd-martin/m442,Todd Martin,33,1070
hicham-arazi/a226,Hicham Arazi,34,1070
andy-roddick/r485,Andy Roddick,35,1032
greg-rusedski/r237,Greg Rusedski,36,1025
harel-levy/l336,Harel Levy,37,978
tommy-robredo/r419,Tommy Robredo,38,908
franco-squillari/s568,Franco Squillari,39,895
bohdan-ulihrach/u032,Bohdan Ulihrach,40,880
alberto-martin/m590,Alberto Martin,41,873
xavier-malisse/m680,Xavier Malisse,42,829
andrei-pavel/p280,Andrei Pavel,43,815
albert-costa/c378,Albert Costa,44,805
andreas-vinciguerra/v250,Andreas Vinciguerra,45,805
jonas-bjorkman/b446,Jonas Bjorkman,46,785
galo-blanco/b518,Galo Blanco,47,780
jerome-golmard/g319,Jerome Golmard,48,775
michal-tabara/t243,Michal Tabara,49,769
wayne-arthurs/a202,Wayne Arthurs,50,763
max-mirnyi/m595,Max Mirnyi,51,745
marcelo-rios/r286,Marcelo Rios,52,735
david-prinosil/p273,David Prinosil,53,715
andrea-gaudenzi/g254,Andrea Gaudenzi,54,711
fernando-vicente/v195,Fernando Vicente,55,696
davide-sanguinetti/s480,Davide Sanguinetti,56,683
younes-el%20aynaoui/e121,Younes El Aynaoui,57,673
gaston-gaudio/g374,Gaston Gaudio,58,670
julien-boutter/b599,Julien Boutter,59,669
rainer-schuettler/s636,Rainer Schuettler,60,661
juan-balcells/b487,Juan Balcells,61,661
antony-dupuis/d272,Antony Dupuis,62,641
michael-chang/c274,Michael Chang,63,640
cedric-pioline/p226,Cedric Pioline,64,635
hyung-taik-lee/l311,Hyung-Taik Lee,65,634
alex-calatrava/c361,Alex Calatrava,66,632
mikhail-youzhny/y061,Mikhail Youzhny,67,616
michel-kratochvil/k319,Michel Kratochvil,68,612
christophe-rochus/r336,Christophe Rochus,69,598
lars-burgsmuller/b484,Lars Burgsmuller,70,594
francisco-clavet/c252,Francisco Clavet,71,585
jacobo-diaz/d291,Jacobo Diaz,72,581
ivan-ljubicic/l360,Ivan Ljubicic,73,576
felix-mantilla/m535,Felix Mantilla,74,572
sergi-bruguera/b350,Sergi Bruguera,75,565
andrei-stoliarov/s688,Andrei Stoliarov,76,564
olivier-rochus/r397,Olivier Rochus,77,560
vladimir-voltchkov/v211,Vladimir Voltchkov,78,560
jose-acasuso/a389,Jose Acasuso,79,544
david-nalbandian/n301,David Nalbandian,80,533
stefan-koubek/k310,Stefan Koubek,81,528
richard-krajicek/k214,Richard Krajicek,82,525
andrew-ilie/i052,Andrew Ilie,83,510
magnus-gustafsson/g182,Magnus Gustafsson,84,505
nicolas-massu/m655,Nicolas Massu,85,505
arnaud-di%20pasquale/d357,Arnaud Di Pasquale,86,501
fernando-meligeni/m443,Fernando Meligeni,87,480
david-sanchez/s677,David Sanchez,88,479
michael-russell/r368,Michael Russell,89,477
jan-siemerink/s381,Jan Siemerink,90,461
chris-woodruff/w212,Chris Woodruff,91,455
sargis-sargsian/s545,Sargis Sargsian,92,453
markus-hipfl/h364,Markus Hipfl,93,450
kristian-pless/p491,Kristian Pless,94,449
raemon-sluiter/s693,Raemon Sluiter,95,446
adrian-voinea/v166,Adrian Voinea,96,443
alexandre-simoni/s721,Alexandre Simoni,97,440
albert-montanes/m824,Albert Montanes,98,439
jiri-vanek/v207,Jiri Vanek,99,437
gianluca-pozzi/p045,Gianluca Pozzi,100,430
